"Employee No","Employee Name","Total Hours","Total Available Hours","Total Work Hours","Total Leave Hours","Total Training Hours","Total BD Hours","Total NC Hours","Total Utilization%","No of Working Years","Profit Center","Employee Position","Employee Location","Employee Category","Supervisor name","People Group","Current Status"
323,"Viv Tammie",4168,3732,3738,416,20,0,16,100.22,3.09,"PC - 1","Level 6","Location 3","Confirmed Staff","Ezmeralda Nisse","Client Service Staff",Active
324,"Erna Annecorinne",4168,3577,3408,564,27,0,300,95.25,3.09,"PC - 1","Level 7","Location 3","Confirmed Staff","Audi Stephana","Client Service Staff",Active
325,"Fina Celie",1904,1687,1432,216,1,0,431,42.44,1.92,"PC - 3","Level 6","Location 1","Serving Notice Period","Kynthia Hildy","Client Service Staff",Resigned
326,"Daniela Zoe",1368,1216,1016,152,0,0,360,41.78,1.67,"PC - 5","Level 7","Location 1","Serving Notice Period","Guenevere Florida","Client Service Staff",Resigned
327,"Evangelia Barbara-Anne",4168,3656,1056,480,32,0,2560,28.45,3.00,"PC - 3","Level 8","Location 1","Confirmed Staff","Agata Theodosia","Client Service Staff",Active
328,"Jonie Nannette",864,832,280,32,0,0,576,16.82,1.42,"PC - 5","Level 8","Location 3","Serving Notice Period","Cherise Lainey","Client Service Staff",Resigned
329,"Claresta Dalenna",4168,3892,3436,256,20,0,914,88.43,3.00,"PC - 6","Level 7","Location 7","Confirmed Staff","Pamelina Shalna","Client Service Staff",Active
330,"Patricia Michaelina",4168,3561,3804.5,504,103,40,0,106.96,3.00,"PC - 3","Level 6","Location 1","Confirmed Staff","Nerita Anet","Client Service Staff",Active
331,"Malena Elnore",448,408,216,40,0,0,192,26.47,1.25,"PC - 1","Level 8","Location 3","Serving Notice Period","Nerissa Jackquelin","Client Service Staff",Resigned
332,"Eadie Kiri",80,80,40,0,0,0,80,25,1.08,"PC - 2","Level 6","Location 7","Serving Notice Period","Dore Natalya","Client Service Staff",Resigned
333,"Cloe Rosalind",4168,3892,2615,264,12,0,1504,67.1,3.00,"PC - 6","Level 6","Location 7","Confirmed Staff","Beverley Laney","Client Service Staff",Active
334,"Kellina Amandi",4168,3890.5,2898,232,45.5,408,915.5,74.22,3.00,"PC - 5","Level 6","Location 3","Confirmed Staff","Rina Debee","Client Service Staff",Active
335,"Oneida Celestina",4168,3544,3008,544,80,60,551,85.38,3.00,"PC - 2","Level 7","Location 7","Confirmed Staff","Jillian Lorelei","Client Service Staff",Active
336,"Kalindi Toma",4168,3633,544,432,103,3099.5,46.5,14.83,2.92,"PC - 3","Level 2","Location 1","Level 1/2","Barbee Joey","Client Service Staff",Active
337,"Rosabella Arlina",4168,3623.4,80,480,64.6,3558,16,2.16,2.92,"PC - 2","Level 5","Location 7","Confirmed Staff","Cacilia Aimee","Client Service Staff",Active
338,"Britni Annabela",4168,3594,3352,528,46,12,268,93.28,2.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Terza Gwyn","Client Service Staff",Active
339,"Clem Joy",4168,3579.5,3195,512,76.5,0,716,89.34,2.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Trenna Mureil","Client Service Staff",Active
340,"Tomasina Rozina",4168,3832,3438,280,56,0,568,89.84,2.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Trenna Mureil","Client Service Staff",Active
341,"Geneva TEirtza",4168,3864,3140,280,24,56,852,81.28,2.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Trenna Mureil","Client Service Staff",Active
342,"Elle Marty",4168,3418,3118,715,35,80,325,91.5,2.92,"PC - 2","Level 7","Location 9","Confirmed Staff","Jolyn Briney","Client Service Staff",Active
343,"Lyndy Sammy",4168,3743,3414,368,57,189,802,90.96,2.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Tamra Joelle","Client Service Staff",Active
344,"Blondell Juli",4168,3939,0,228,1,3891,0,0,2.92,"PC - 3","Level 7","Location 1","Confirmed Staff","Cordey Sofia","Client Service Staff",Active
345,"Glennie Jeni",4168,3757.5,3360,384,26.5,0,605.5,89.18,2.92,"PC - 6","Level 7","Location 3","Confirmed Staff","Stacey Cassey","Client Service Staff",Active
346,"Salome Selene",2728,2467,2015,248,13,0,729.5,76.14,2.92,"PC - 3","Level 7","Location 2","Confirmed Staff","Kynthia Hildy","Client Service Staff",Active
347,"Shirlee Gretchen",1888,1080,652,808,0,0,428,30.18,1.84,"PC - 5","Level 8","Location 1","Serving Notice Period","Guenevere Florida","Client Service Staff",Resigned
348,"Belva Katya",4168,3926,3081,225,17,0,1151,78.36,2.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Tamra Joelle","Client Service Staff",Active
349,"Loralyn Ynes",4168,3634.5,3707.5,484,49.5,0,21,102.02,2.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Nancee Deirdre","Client Service Staff",Active
350,"Bird Ophelia",4168,3775.25,3609,336,56.75,0,784,95.64,2.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Trenna Mureil","Client Service Staff",Active
351,"Elga Margalit",4168,1727,1210,2432,9,0,437,70.95,2.92,"PC - 5","Level 8","Location 3","Confirmed Staff","Lian Harley","Client Service Staff",Active
352,"Kalie Sylvia",4168,3680,3120,472,16,0,560,84.8,2.92,"PC - 6","Level 6","Location 3","Confirmed Staff","Lindy Marguerite","Client Service Staff",Active
353,"Tonya Averyl",4168,3684.5,3464,456,27.5,0,296.5,93.99,2.92,"PC - 3","Level 7","Location 2","Confirmed Staff","Marney Anderea","Client Service Staff",Active
354,"Chiquia Brittaney",4168,3697,2669,448,23,0,1326.5,71.97,2.92,"PC - 3","Level 7","Location 2","Confirmed Staff","Marney Anderea","Client Service Staff",Active
355,"Britta Anthiathia",1392,1232,192,160,0,49,1058,7.79,1.50,"PC - 5","Level 4","Location 1","Serving Notice Period","Cacilia Aimee","Client Service Staff",Resigned
356,"Codi Saraann",1208,1116,664,88,4,0,521,29.75,1.42,"PC - 2","Level 7","Location 9","Serving Notice Period","Jolyn Briney","Client Service Staff",Resigned
357,"Chris Ricky",4168,3545.5,1953,496,126.5,1249,448,55.07,2.84,"PC - 2","Level 5","Location 7","Confirmed Staff","Beverley Laney","Client Service Staff",Active
358,"Cosette Lavena",3048,2655.5,1442,260,132.5,11,1430,60.48,1.34,"PC - 2","Level 6","Location 7","Serving Notice Period","Dorotea Inger","Client Service Staff",Resigned
359,"Marika Vannie",4168,3627,3445,444,97,0,379,94.96,2.84,"PC - 2","Level 7","Location 7","Confirmed Staff","Myrtie Brana","Client Service Staff",Active
360,"Caye Madlen",2560,2260.5,2260.5,264,35.5,0,8,100,2.84,"PC - 2","Level 6","Location 7","Serving Notice Period","Dore Natalya","Client Service Staff",Active
361,"Danice Pam",4168,3744,3924,408,16,0,176,105.07,2.84,"PC - 3","Level 7","Location 1","Confirmed Staff","Ali Elsinore","Client Service Staff",Active
362,"Felicdad Bryna",4008,3666,3646,290,52,0,440,99.72,2.84,"PC - 2","Level 6","Location 7","Confirmed Staff","Marys Essy","Client Service Staff",Active
363,"Carine Marna",4168,3670,3575,476,22,0,566,97.42,2.84,"PC - 2","Level 6","Location 7","Confirmed Staff","Marys Essy","Client Service Staff",Active
364,"Becca Kai",4168,3921.5,3608,224,22.5,0,360,92.12,2.84,"PC - 2","Level 7","Location 9","Confirmed Staff","Jolyn Briney","Client Service Staff",Active
365,"Zandra Jeanine",4168,3657,3561,480,31,0,119,97.38,2.84,"PC - 1","Level 7","Location 3","Confirmed Staff","Audi Stephana","Client Service Staff",Active
366,"Rana Cariotta",4168,3636,2952,496,36,0,860,81.13,2.84,"PC - 1","Level 7","Location 3","Confirmed Staff","Katuscha Pru","Client Service Staff",Active
367,"Pauli Clementia",4168,3544,3301,548,76,0,603,93.13,2.84,"PC - 1","Level 7","Location 3","Confirmed Staff","Katuscha Pru","Client Service Staff",Active
368,"Caryl Kristal",4168,3623,3262,480,65,0,468,90.16,2.84,"PC - 1","Level 7","Location 3","Confirmed Staff","Isahella Gwendolin","Client Service Staff",Active
369,"Lotte Lynelle",4168,3773.5,3024,392,2.5,0,1437.5,80.04,2.84,"PC - 3","Level 7","Location 2","Confirmed Staff","Marney Anderea","Client Service Staff",Active
370,"Kylynn Toni",4168,3930.5,4002,216,21.5,16,0,101.8,2.84,"PC - 6","Level 7","Location 1","Confirmed Staff","Tiena Hatti","Client Service Staff",Active
371,"Gena Karrie",520,520,488,0,0,0,40,46.92,1.08,"PC - 1","Level 7","Location 3","Serving Notice Period","Katuscha Pru","Client Service Staff",Resigned
372,"Debor Melita",2448,2199,1140,224,25,0,1114,30.73,2.84,"PC - 5","Level 7","Location 7","Serving Notice Period","Nerita Anet","Client Service Staff",Active
373,"Carlina Gianna",4168,3745,2346,395,28,0,1863,62.54,2.84,"PC - 5","Level 7","Location 1","Confirmed Staff","Nerita Anet","Client Service Staff",Active
374,"Doretta Maryellen",2568,2519,1798,48,1,0,1264,44.09,2.84,"PC - 5","Level 7","Location 1","Serving Notice Period","Orsa Margeaux","Client Service Staff",Active
375,"Arlyn Roz",8,8,48,0,0,0,0,300,0.92,"PC - 5","Level 8","Location 1","Serving Notice Period","Hedwiga Mehetabel","Client Service Staff",Resigned
376,"Regine Dehlia",4168,3426.5,3337,696,45.5,0,784,97.6,2.84,"PC - 3","Level 7","Location 1","Confirmed Staff","Nerita Anet","Client Service Staff",Active
377,"Bunni Merrielle",4168,3864,4160,304,0,0,184,107.49,2.84,"PC - 5","Level 7","Location 3","Confirmed Staff","Luciana Erika","Client Service Staff",Active
378,"Gale Adrea",736,688,560,48,0,0,360,40.7,1.25,"PC - 1","Level 7","Location 3","Serving Notice Period","Katuscha Pru","Client Service Staff",Resigned
379,"Loni Kristien",3208,2777.5,2188,408,22.5,0,605.5,76.94,2.84,"PC - 3","Level 7","Location 4","Confirmed Staff","Danette Melinda","Client Service Staff",Active
380,"Helaina Sidonnie",4168,3693,4347,392,83,0,314.5,117.55,2.84,"PC - 3","Level 7","Location 2","Confirmed Staff","Moira Vivien","Client Service Staff",Active
381,"Oliy Lyndsay",4168,3675.5,2696.5,408,84.5,144,1023,73.12,2.84,"PC - 2","Level 7","Location 7","Confirmed Staff","Terza Gwyn","Client Service Staff",Active
382,"Viviana Roze",4168,3365.5,3106.5,701,101.5,6,356,92.26,2.84,"PC - 6","Level 8","Location 7","Confirmed Staff","Tiena Hatti","Client Service Staff",Active
383,"Dreddy Donelle",4168,3693.5,4079,416,58.5,0,177.5,110.43,2.84,"PC - 3","Level 8","Location 1","Confirmed Staff","Ophelie Jyoti","Client Service Staff",Active
384,"Sherilyn Lacey",3968,3505.5,3420,416,46.5,0,220.5,97.62,2.84,"PC - 3","Level 8","Location 1","Confirmed Staff","Nerita Anet","Client Service Staff",Active
385,"Maxine Eleni",4168,3688,3821,432,48,0,29.5,103.58,2.84,"PC - 3","Level 8","Location 1","Confirmed Staff","Eydie Francine","Client Service Staff",Active
386,"Harrietta Krystalle",3120,2680,2532,424,16,0,284.5,93.74,2.84,"PC - 3","Level 8","Location 1","Confirmed Staff","Ali Elsinore","Client Service Staff",Active
387,"Hedwiga Mehetabel",4168,3872,2396,296,0,1020,552,62.02,2.84,"PC - 5","Level 5","Location 7","Confirmed Staff","Cacilia Aimee","Client Service Staff",Active
388,"Christiane Noelle",4168,3598,2760,520,50,24,959,76.74,2.84,"PC - 2","Level 7","Location 7","Confirmed Staff","Terza Gwyn","Client Service Staff",Active
389,"Verina Dulcy",4168,3409.5,2440.5,648,110.5,224,1337,71.55,2.84,"PC - 2","Level 7","Location 7","Confirmed Staff","Terza Gwyn","Client Service Staff",Active
390,"Mora Maressa",3808,3308.5,3111,432,67.5,0,254,94.68,2.84,"PC - 2","Level 7","Location 7","Confirmed Staff","Sile Lorrie","Client Service Staff",Active
391,"Ernesta Estella",568,560,128,8,0,0,472,11.43,1.17,"PC - 3","Level 7","Location 1","Serving Notice Period","Misti Helena","Client Service Staff",Resigned
392,"Anabal Melisande",4168,3564,3543,556,48,0,523,99.74,2.84,"PC - 3","Level 6","Location 1","Confirmed Staff","Kristina Alleen","Client Service Staff",Active
393,"Mariellen Salli",4168,3792,2888,360,16,0,1223,76.22,2.84,"PC - 5","Level 6","Location 1","Confirmed Staff","Nerita Anet","Client Service Staff",Active
394,"Nicolle Bendite",288,278,32,8,2,0,246,5.76,1.00,"PC - 3","Level 7","Location 2","Serving Notice Period","Vonni Bethena","Client Service Staff",Resigned
395,"Gavra Kayle",4168,3722.75,392,432,13.25,0,3355.75,10.65,2.75,"PC - 5","Level 5","Location 3","Confirmed Staff","Rina Debee","Client Service Staff",Active
396,"Bevvy Margot",3408,2963,2373,384,61,0,899.5,75.16,2.75,"PC - 3","Level 8","Location 2","Confirmed Staff","Marney Anderea","Client Service Staff",Active
397,"Prudi Delly",4168,3654,2690,404,110,0,1226.5,72.94,2.75,"PC - 3","Level 5","Location 2","Confirmed Staff","Kynthia Hildy","Client Service Staff",Active
398,"Filia Kaila",80,72,0,8,0,0,80,0,0.84,"PC - 2","Level 8","Location 9","Serving Notice Period","Orelee Hanna","Client Service Staff",Resigned
399,"Simona Sybille",4168,3675,3441,464,29,0,287,93.7,2.75,"PC - 1","Level 8","Location 3","Confirmed Staff","Agnes Stacie","Client Service Staff",Active
400,"Bathsheba Constantine",288,264,181,24,0,0,87,34.28,0.92,"PC - 1","Level 7","Location 3","Serving Notice Period","Gisella Nickie","Client Service Staff",Resigned
401,"Glenna Gilbertine",4168,3630,3250,504,34,0,750,89.43,2.75,"PC - 1","Level 7","Location 3","Confirmed Staff","Agnes Stacie","Client Service Staff",Active
402,"Glyn Leonie",4168,3001,2501,1134,33,0,525,84.51,2.75,"PC - 1","Level 7","Location 3","Confirmed Staff","Cherry Fancie","Client Service Staff",Active
403,"Moina Sella",4168,3685,3720,456,27,0,595.5,101.07,2.75,"PC - 2","Level 7","Location 7","Confirmed Staff","Tamra Joelle","Client Service Staff",Active
404,"Caprice Annalee",4168,3028.5,2792,1102,37.5,0,361.5,92.25,2.75,"PC - 3","Level 6","Location 4","Confirmed Staff","Danette Melinda","Client Service Staff",Active
405,"Yetty Devi",4168,3818,3064,348,2,0,754,80.28,2.75,"PC - 3","Level 8","Location 1","Confirmed Staff","Xylina Beatriz","Client Service Staff",Active
406,"Jerry Ellene",928,876.5,435,48,3.5,0,456.5,24.82,1.25,"PC - 3","Level 8","Location 1","Serving Notice Period","Ali Elsinore","Client Service Staff",Resigned
407,"Selestina Jacquelin",728,688,331,40,0,0,358,24.06,1.17,"PC - 3","Level 8","Location 1","Serving Notice Period","Kristina Alleen","Client Service Staff",Resigned
408,"Rozalin Lurline",4168,3625.5,3269,504,38.5,0,380.5,90.34,2.75,"PC - 3","Level 8","Location 1","Confirmed Staff","Misti Helena","Client Service Staff",Active
409,"Rosemarie Theodora",1128,1064,496,64,0,0,568,23.31,1.34,"PC - 3","Level 8","Location 1","Serving Notice Period","Ali Elsinore","Client Service Staff",Resigned
410,"Ameline Bill",3888,3534,2246,320,34,0,1717,64.56,2.75,"PC - 3","Level 8","Location 1","Confirmed Staff","Dottie Bidget","Client Service Staff",Active
411,"Annabelle Pammi",2448,2245.5,2468,184,18.5,0,20,105.9,2.75,"PC - 1","Level 8","Location 3","Serving Notice Period","Isahella Gwendolin","Client Service Staff",Active
412,"Tommi Marla",288,280,280,0,8,0,16,50,0.92,"PC - 2","Level 8","Location 7","Serving Notice Period","Trenna Mureil","Client Service Staff",Resigned
413,"Deanne Eudora",4168,3638,3651,456,74,0,65,100.38,2.75,"PC - 2","Level 8","Location 7","Confirmed Staff","Tallulah Kassia","Client Service Staff",Active
414,"Tamra Joelle",4168,3218.95,2466,876,73.05,1261,8,83.08,2.75,"PC - 2","Level 5","Location 7","Confirmed Staff","Annnora Gabrielle","Client Service Staff",Active
415,"Lu Arabel",4168,3480.5,2752.5,620,67.5,-24,880,79.58,2.75,"PC - 2","Level 7","Location 7","Confirmed Staff","Jillian Lorelei","Client Service Staff",Active
416,"Alethea Grace",3288,3129,884,136,23,0,2279,22.72,2.75,"PC - 6","Level 8","Location 9","Confirmed Staff","Ruthe Bellina","Client Service Staff",Active
417,"Britteny Rosamund",2568,2376,1757,184,8,20,696,62.98,2.75,"PC - 6","Level 8","Location 3","Serving Notice Period","Lee Alfie","Client Service Staff",Active
418,"Monika Meredithe",4168,3784,3056,368,16,0,1108,80.93,2.75,"PC - 6","Level 6","Location 3","Confirmed Staff","Stacey Cassey","Client Service Staff",Active
419,"Donia Cassy",488,472,471,16,0,0,16,49.9,1.00,"PC - 6","Level 8","Location 7","Serving Notice Period","Pamelina Shalna","Client Service Staff",Resigned
420,"Aeriela Elonore",4168,3713,3813.5,408,47,144,27.5,102.71,2.75,"PC - 3","Level 8","Location 4","Confirmed Staff","Danette Melinda","Client Service Staff",Active
421,"Jeana Bethanne",3128,2859,2008,267,2,0,996,66.47,2.75,"PC - 5","Level 8","Location 3","Confirmed Staff","Lian Harley","Client Service Staff",Active
422,"Morissa Michele",4168,3765,3586,360,43,0,228,95.1,2.75,"PC - 1","Level 8","Location 3","Confirmed Staff","Jillana Vivi","Client Service Staff",Active
423,"Larissa Lorraine",1208,1180,744,16,12,0,456,31.52,1.34,"PC - 5","Level 7","Location 7","Serving Notice Period","Hedwiga Mehetabel","Client Service Staff",Resigned
424,"Philippine Berna",2248,1978,1300,232,38,0,724,76.8,1.84,"PC - 2","Level 8","Location 7","Serving Notice Period","Terza Gwyn","Client Service Staff",Resigned
425,"Nedi Kessiah",4168,3335.5,3356,812,20.5,0,11.5,100.6,2.75,"PC - 3","Level 8","Location 1","Confirmed Staff","Iormina Lucienne","Client Service Staff",Active
426,"Mel Deerdre",888,768,488,120,0,0,280,31.77,1.25,"PC - 3","Level 8","Location 1","Serving Notice Period","Misti Helena","Client Service Staff",Resigned
427,"Cherrita Adara",4168,3636,4462,496,36,0,35.5,122.71,2.75,"PC - 3","Level 8","Location 1","Confirmed Staff","Benedikta Kirbee","Client Service Staff",Active
428,"Maxie Mariel",4168,3767,4716,372,29,0,43.5,124.99,2.75,"PC - 3","Level 8","Location 1","Confirmed Staff","Zaneta Arlette","Client Service Staff",Active
429,"Gillie Sophie",4168,3829,3356,296,43,0,481,87.46,2.75,"PC - 1","Level 7","Location 3","Confirmed Staff","Nerissa Jackquelin","Client Service Staff",Active
430,"Tonie Shawna",4168,3672.5,3252,440,55.5,0,548,88.54,2.75,"PC - 1","Level 7","Location 3","Confirmed Staff","Jillana Vivi","Client Service Staff",Active
431,"Larine Hedvig",4168,3622,3123,504,42,160,424,86.18,2.75,"PC - 2","Level 8","Location 9","Confirmed Staff","Orelee Hanna","Client Service Staff",Active
432,"Latia Blinny",4168,3684.5,2472,424,59.5,0,1253.5,66.9,2.75,"PC - 3","Level 6","Location 1","Confirmed Staff","Kristina Alleen","Client Service Staff",Active
433,"Nanete Kandace",0,0,0,0,0,168,0,0,2.67,"PC - 9","Level 5","Location 3","Serving Notice Period","Agata Theodosia","Client Service Staff",Active
434,"Alli Ashley",4168,3592,3579,552,24,0,35,99.61,2.67,"PC - 1","Level 6","Location 3","Confirmed Staff","Em Cacilie","Client Service Staff",Active
435,"Calida Lucine",4168,3669.5,2709,424,74.5,0,1467.5,74.07,2.67,"PC - 3","Level 7","Location 2","Confirmed Staff","Kynthia Hildy","Client Service Staff",Active
436,"Lanette Orsola",376,376,120,0,0,0,288,15.96,0.92,"PC - 1","Level 6","Location 3","Serving Notice Period","Em Cacilie","Client Service Staff",Resigned
437,"Cristina Maren",4168,3762,2018,380,26,0,1670,53.58,2.67,"PC - 3","Level 5","Location 2","Confirmed Staff","Revkah Stephie","Client Service Staff",Active
438,"Fawne Jilli",4168,3656,3516,480,32,0,324,96.16,2.67,"PC - 1","Level 6","Location 3","Confirmed Staff","Ezmeralda Nisse","Client Service Staff",Active
439,"Konstance Joeann",4168,3417,2567,696,55,0,1184,75.11,2.67,"PC - 3","Level 6","Location 2","Confirmed Staff","Vonni Bethena","Client Service Staff",Active
440,"Crin Jorey",4168,3482,2736.5,640,46,0,941.5,78.71,2.67,"PC - 5","Level 6","Location 7","Confirmed Staff","Cherise Lainey","Client Service Staff",Active
441,"Korella Dion",2776,2320.5,619,392,63.5,0,1889.5,20.26,2.67,"PC - 5","Level 8","Location 7","Confirmed Staff","Nerita Anet","Client Service Staff",Active
442,"Fred Tabbitha",464,456,372,8,0,0,108,40.79,0.83,"PC - 1","Level 7","Location 3","Serving Notice Period","Erminie Ericka","Client Service Staff",Resigned
443,"Klarika Babb",416,416,48,0,0,0,400,5.77,0.83,"PC - 5","Level 8","Location 3","Serving Notice Period","Gavra Kayle","Client Service Staff",Resigned
444,"Lona Berte",1608,1408,1051,152,48,0,445,37.32,1.42,"PC - 1","Level 7","Location 3","Awaiting Termination","Nerissa Jackquelin","Client Service Staff",Resigned
445,"Emilee Tuesday",4168,3952,3032,216,0,0,1024,76.72,2.58,"PC - 5","Level 8","Location 3","Confirmed Staff","Lian Harley","Client Service Staff",Active
446,"Kaye Bunnie",152,136,112,16,0,0,40,41.18,0.67,"PC - 5","Level 7","Location 7","Serving Notice Period","Hedwiga Mehetabel","Client Service Staff",Resigned
447,"Nadine Estrella",2440,2256,840,152,32,0,1444,59.2,2.58,"PC - 3","Level 4","Location 4","Serving Notice Period","Kalindi Toma","Client Service Staff",Active
448,"Shandeigh Lyndell",4168,3574,3161,544,50,0,610,88.46,2.58,"PC - 3","Level 8","Location 1","Confirmed Staff","Eydie Francine","Client Service Staff",Active
449,"Stephenie Marcile",4168,3549.5,3787,552,66.5,0,593,106,2.58,"PC - 3","Level 8","Location 1","Confirmed Staff","Rosabel Saidee","Client Service Staff",Active
450,"Irma Korry",3408,2858.3,2392,504,45.7,0,818.3,80.11,2.58,"PC - 3","Level 8","Location 1","Confirmed Staff","Rosalynd Catina","Client Service Staff",Active
451,"Heida Meara",1440,1248,1248,192,0,0,8,50,1.34,"PC - 3","Level 8","Location 1","Serving Notice Period","Ophelie Jyoti","Client Service Staff",Resigned
452,"Luciana Erika",4168,3722,1425,400,46,1627,712,38.46,2.58,"PC - 5","Level 5","Location 3","Confirmed Staff","Rina Debee","Client Service Staff",Active
453,"Lilias Vivianna",1088,1032,860,56,0,172,0,41.66,1.17,"PC - 3","Level 5","Location 1","Serving Notice Period","Tallia Eyde","Client Service Staff",Resigned
454,"Kitti Carlotta",4048,3571,3505,468,9,0,251.5,97.92,2.58,"PC - 3","Level 8","Location 1","Confirmed Staff","Eydie Francine","Client Service Staff",Active
455,"Jodi Janka",2000,1738,815,208,54,0,1021,23.44,1.50,"PC - 2","Level 8","Location 7","Serving Notice Period","Myrtie Brana","Client Service Staff",Resigned
456,"Lindsy Aidan",4168,3998,3625,83.5,86.5,0,610,90.58,2.50,"PC - 6","Level 8","Location 7","Confirmed Staff","Frances Mignonne","Client Service Staff",Active
457,"Angelique Darb",4168,3636,3387,440,92,0,486,93.26,2.50,"PC - 6","Level 8","Location 7","Confirmed Staff","Frances Mignonne","Client Service Staff",Active
458,"Gwen Moyna",4168,3728,3224,416,24,0,536,86.52,2.50,"PC - 1","Level 6","Location 3","Confirmed Staff","Kippy Marquita","Client Service Staff",Active
459,"Yasmin Evelina",4168,3845,3576.5,240,83,0,354,92.98,2.50,"PC - 2","Level 8","Location 9","Confirmed Staff","Orelee Hanna","Client Service Staff",Active
460,"Shayla Iris",4168,3554.5,3429.5,544,69.5,0,412,96.52,2.50,"PC - 2","Level 8","Location 9","Confirmed Staff","Jolyn Briney","Client Service Staff",Active
461,"Drona Oralla",2048,1839,1398,208,1,0,441,38.01,1.50,"PC - 5","Level 8","Location 3","Serving Notice Period","Lian Harley","Client Service Staff",Resigned
462,"Sibyl Katha",4168,3690.7200000000003,0,475,2.2800000000000002,0,3690.7200000000003,0,2.50,"PC - 1","Level A3","Location 3","Confirmed Staff","Rochette Jilleen","Support Staff",Active
463,"Beverley Laney",4168,3704,420.5,460,4,1680.5,1648,11.28,2.50,"PC - 2","Level 3","Location 7","Confirmed Staff","Daryl Natalina","Client Service Staff",Active
464,"Lia Livvy",4168,3704,3364,412,52,0,719.5,90.78,2.50,"PC - 3","Level 7","Location 2","Confirmed Staff","Marney Anderea","Client Service Staff",Active
465,"Ofella Jenica",4168,3641.5,3214,440,86.5,0,612,88.15,2.50,"PC - 2","Level 7","Location 9","Confirmed Staff","Orelee Hanna","Client Service Staff",Active
466,"Tommy Muire",4168,3669.35,3165.35,496,2.65,0,504,86.45,2.50,"PC - 5","Level 5","Location 1","Confirmed Staff","Guenevere Florida","Client Service Staff",Active
467,"Blair Dinny",4168,3921.5,1724,176,70.5,16,2349.5,43.96,2.42,"PC - 5","Level 5","Location 1","Confirmed Staff","Guenevere Florida","Client Service Staff",Active
468,"Vivyan Dayna",1496,1364,1348,128,4,0,48,49.42,1.17,"PC - 3","Level 6","Location 1","Serving Notice Period","Kalindi Toma","Client Service Staff",Resigned
469,"Bel Tara",4168,3683,2569,480,5,0,1130,69.22,2.42,"PC - 1","Level 6","Location 3","Confirmed Staff","Trudey Lissi","Client Service Staff",Active
470,"Fae Jenilee",4168,3575.5,2893,560,32.5,0,725,81.22,2.42,"PC - 1","Level 7","Location 3","Confirmed Staff","Nerissa Jackquelin","Client Service Staff",Active
471,"Lilith Philly",1528,1456,1328,72,0,0,144,45.6,1.17,"PC - 5","Level 7","Location 3","Serving Notice Period","Cherise Lainey","Client Service Staff",Resigned
472,"Cassandra Katerina",4168,3629,189,400,139,773,2750,5.27,2.42,"PC - 6","Level 5","Location 7","Confirmed Staff","Beverley Laney","Client Service Staff",Active
473,"Karina Laurene",1776,1660,940,112,4,0,760,28.32,1.33,"PC - 6","Level 8","Location 7","Serving Notice Period","Frances Mignonne","Client Service Staff",Resigned
474,"Shirlene Petronia",4168,3895,3237,256,17,0,952,83.16,2.42,"PC - 5","Level 8","Location 3","Confirmed Staff","Gavra Kayle","Client Service Staff",Active
475,"Hedi Elna",4168,3688,466,440,40,0,3179,12.52,2.42,"PC - 3","Level 3","Location 4","Confirmed Staff","Barbee Joey","Client Service Staff",Active
476,"Celesta Amie",4168,3870,3319,264,34,0,624,85.76,2.33,"PC - 1","Level 7","Location 3","Confirmed Staff","Ezmeralda Nisse","Client Service Staff",Active
477,"Kassey Delcina",4008,3413.5,3127,548,46.5,8,316.5,91.71,2.33,"PC - 5","Level 7","Location 7","Confirmed Staff","Hedwiga Mehetabel","Client Service Staff",Active
478,"Theresa Ted",784,557.5,0,224,2.5,77.5,416,0,1.33,"PC - 2","Level 8","Location 7","Serving Notice Period","Terza Gwyn","Client Service Staff",Resigned
479,"Roseline Anstice",4168,3526,3068,622,20,0,660.5,86.88,2.33,"PC - 1","Level 7","Location 3","Confirmed Staff","Jillana Vivi","Client Service Staff",Active
480,"Xylina Beatriz",4168,3794,3816.5,360,14,0,622,100.37,2.33,"PC - 3","Level 5","Location 1","Confirmed Staff","Cordey Sofia","Client Service Staff",Active
481,"Brande Rubie",4168,3656.5,3649,488,23.5,0,84,99.8,2.33,"PC - 5","Level 7","Location 3","Confirmed Staff","Gavra Kayle","Client Service Staff",Active
482,"Laetitia Yoshi",4168,3406.5,1884,512,249.5,10,1730,55.34,2.33,"PC - 2","Level 5","Location 7","Confirmed Staff","Philippe Kizzie","Client Service Staff",Active
483,"Jeralee Ferne",4168,3764,3207,352,52,0,589,85.16,2.33,"PC - 1","Level 7","Location 3","Confirmed Staff","Nerissa Jackquelin","Client Service Staff",Active
484,"Isahella Gwendolin",4168,3908,1860.5,240,20,0,2476.5,47.58,2.33,"PC - 1","Level 5","Location 3","Confirmed Staff","Jordanna Danya","Client Service Staff",Active
485,"Elisha Moselle",4168,3495,2951,616,57,0,644.5,84.44,2.33,"PC - 2","Level 7","Location 9","Confirmed Staff","Orelee Hanna","Client Service Staff",Active
