STAFF,Employee No,Profit Center,Employee Name,Employee Position,Employee Location,People Group,Employee Category,Supervisor name,Join Date,Current Status,Termination Date,Apr Utilization%,May Utilization%,Jun Utilization%,Jul Utilization%,Aug Utilization%,Sep Utilization%,Oct Utilization%,Nov Utilization%,Dec Utilization%,Jan Utilization%,Feb Utilization%,Mar Utilization%,Total Hours,Total Available Hours,Total Work Hours,Total Leave Hours,Total Training Hours,Total BD Hours,Total NC Hours,Total Utilization%
Staff 16-17,771,PC - 6,Letitia Anthe,Level 8,Location 1,Client Service Staff,Staff on Probation,Gert Editha,2017-02-28,Active,,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,200.00,144.00,0.00,8.00,48.00,0.00,144.00,0.00%
Staff 16-17,772,PC - 6,Modesty Hillary,Level 8,Location 1,Client Service Staff,Staff on Probation,Gert Editha,2017-02-28,Active,,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,200.00,142.00,0.00,8.00,50.00,0.00,149.00,0.00%
Staff 16-17,773,PC - 2,Cody Ashlan,Level 5,Location 7,Client Service Staff,Staff on Probation,Beverley Laney,2017-02-28,Active,,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,200.00,153.00,0.00,24.00,23.00,0.00,153.00,0.00%
Staff 16-17,774,PC - 2,Cecil Luci,Level 8,Location 7,Client Service Staff,Staff on Probation,Tamra Joelle,2017-02-28,Active,,0,0,0,0,0,0,0,0,0,0,0.00%,85.54%,200.00,168.00,142.00,8.00,24.00,0.00,26.00,84.52%
Staff 16-17,775,PC - 2,Shirley Jasmine,Level 7,Location 7,Client Service Staff,Staff on Probation,Nancee Deirdre,2017-02-28,Active,,0,0,0,0,0,0,0,0,0,0,0.00%,71.43%,200.00,184.00,120.00,0.00,16.00,0.00,64.00,65.22%
Staff 16-17,776,PC - 3,Adelaide Robina,Level 8,Location 1,Client Service Staff,Staff on Probation,Ophelie Jyoti,2017-03-31,New Joiner,,0,0,0,0,0,0,0,0,0,0,0,64.29%,160.00,112.00,72.00,8.00,40.00,0.00,40.00,64.29%
Staff 16-17,777,PC - 3,Robin Dido,Level 8,Location 1,Client Service Staff,Staff on Probation,Ali Elsinore,2017-03-31,New Joiner,,0,0,0,0,0,0,0,0,0,0,0,26.79%,160.00,112.00,30.00,8.00,40.00,0.00,82.00,26.79%
Staff 16-17,778,PC - 3,Eustacia Anna-Diane,Level 6,Location 1,Client Service Staff,Staff on Probation,Hedi Elna,2017-03-31,New Joiner,,0,0,0,0,0,0,0,0,0,0,0,64.29%,160.00,112.00,72.00,8.00,40.00,0.00,40.00,64.29%
Staff 16-17,779,PC - 5,Miriam Dot,Level 6,Location 3,Client Service Staff,Staff on Probation,Rina Debee,2017-03-31,New Joiner,,0,0,0,0,0,0,0,0,0,0,0,0.00%,160.00,152.00,0.00,0.00,8.00,0.00,152.00,0.00%
Staff 16-17,780,PC - 6,Rosene Nicoli,Level 7,Location 3,Client Service Staff,Staff on Probation,Lindy Marguerite,2017-03-31,New Joiner,,0,0,0,0,0,0,0,0,0,0,0,66.67%,160.00,144.00,96.00,8.00,8.00,0.00,48.00,66.67%
Staff 16-17,781,PC - 2,Francyne Brena,Level 5,Location 7,Client Service Staff,Staff on Probation,Dorotea Inger,2017-03-31,New Joiner,,0,0,0,0,0,0,0,0,0,0,0,0.00%,160.00,128.00,0.00,8.00,24.00,128.00,0.00,0.00%
Staff 16-17,782,PC - 2,Shell Ruperta,Level 8,Location 7,Client Service Staff,Staff on Probation,Dorotea Inger,2017-03-31,New Joiner,,0,0,0,0,0,0,0,0,0,0,0,55.38%,160.00,130.00,72.00,8.00,22.00,0.00,58.00,55.38%
Staff 16-17,783,PC - 3,Caressa Carolann,Level 8,Location 2,Client Service Staff,Staff on Probation,Cristina Maren,2017-03-31,New Joiner,,0,0,0,0,0,0,0,0,0,0,0,0.00%,120.00,103.00,0.00,0.00,17.00,0.00,103.00,0.00%
Staff 16-17,784,PC - 2,Lurleen Joela,Level 7,Location 7,Client Service Staff,Staff on Probation,Laetitia Yoshi,2017-03-31,New Joiner,,0,0,0,0,0,0,0,0,0,0,0,63.28%,112.00,88.50,56.00,0.00,23.50,0.00,33.50,63.28%
Staff 16-17,785,PC - 6,Maurine Jessika,Level 8,Location 1,Client Service Staff,Staff on Probation,Tiena Hatti,2017-03-31,New Joiner,,0,0,0,0,0,0,0,0,0,0,0,100.00%,80.00,32.00,32.00,8.00,40.00,0.00,0.00,100.00%
Staff 16-17,786,PC - 3,Ainsley Benedetta,Level 8,Location 1,Client Service Staff,Staff on Probation,Kristina Alleen,2017-03-31,New Joiner,,0,0,0,0,0,0,0,0,0,0,0,0.00%,80.00,40.00,0.00,0.00,40.00,0.00,40.00,0.00%
Staff 16-17,787,PC - 5,Calli Celene,Level 8,Location 3,Client Service Staff,Staff on Probation,Lian Harley,2017-03-31,New Joiner,,0,0,0,0,0,0,0,0,0,0,0,0.00%,80.00,72.00,0.00,0.00,8.00,0.00,72.00,0.00%
Staff 16-17,788,PC - 3,Myrna Brianna,Level 7,Location 4,Client Service Staff,Staff on Probation,Hedi Elna,2017-03-31,New Joiner,,0,0,0,0,0,0,0,0,0,0,0,0.00%,40.00,32.00,0.00,8.00,0.00,0.00,32.00,0.00%
Staff 16-17,789,PC - 3,Bibbye Isabelle,Level 7,Location 1,Client Service Staff,Staff on Probation,Eydie Francine,2017-03-31,New Joiner,,0,0,0,0,0,0,0,0,0,0,0,0.00%,40.00,18.00,0.00,8.00,14.00,0.00,18.00,0.00%
Staff 17-18,1,PC - 1,Rochette Jilleen,Level 1,Location 3,Client Service Staff,SVP/VP,Idalina Lauraine,2000-09-30,Active,,36.11%,26.14%,17.31%,17.26%,16.36%,46.71%,22.06%,23.21%,21.52%,6.82%,40.79%,18.13%,2080.00,1864.50,448.00,188.00,27.50,1431.50,18.00,24.03%
Staff 17-18,2,PC - 2,Daryl Natalina,Level 2,Location 7,Client Service Staff,SVP/VP,Idalina Lauraine,1999-05-31,Active,,20.39%,25.83%,29.17%,18.90%,11.88%,57.19%,38.82%,94.89%,116.41%,8.52%,25.00%,25.94%,2080.00,1868.00,722.00,208.00,4.00,600.50,596.50,38.65%
Staff 17-18,3,PC - 2,Annnora Gabrielle,Level 2,Location 7,Client Service Staff,SVP/VP,Idalina Lauraine,2001-01-31,Active,,30.92%,18.75%,49.40%,128.85%,11.93%,78.47%,123.08%,100.72%,103.75%,56.91%,58.78%,126.79%,2080.00,1720.00,1173.00,338.00,22.00,463.50,357.50,68.20%
Staff 17-18,4,PC - 3,Barbee Joey,Level 2,Location 1,Client Service Staff,Resigned,Idalina Lauraine,2000-09-30,Resigned,2018-02-28,62.50%,42.33%,1.25%,12.12%,3.57%,37.19%,5.56%,0.00%,0.00%,2.70%,4.35%,0,1840.00,1640.50,273.00,196.00,3.50,1361.00,24.00,16.64%
Staff 17-18,6,PC - 1,Jordanna Danya,Level 2,Location 3,Client Service Staff,SVP/VP,Idalina Lauraine,2002-06-30,Active,,30.26%,7.07%,17.50%,32.50%,50.00%,45.39%,14.39%,28.57%,3.91%,25.00%,2.50%,23.33%,2080.00,1812.00,428.00,260.00,8.00,1237.00,470.00,23.62%
Staff 17-18,7,PC - 1,Irene Candis,Level 3,Location 3,Client Service Staff,Confirmed Staff,Rochette Jilleen,2004-07-31,Active,,29.73%,14.13%,10.00%,21.79%,7.69%,60.53%,5.88%,12.50%,4.30%,22.37%,0.00%,1.39%,2080.00,1745.00,290.00,312.00,23.00,1455.00,24.00,16.62%
Staff 17-18,9,PC - 2,Marleah Bernadina,Level 3,Location 9,Client Service Staff,Confirmed Staff,Annnora Gabrielle,2004-09-30,Active,,20.39%,40.63%,9.09%,5.36%,7.35%,60.63%,29.61%,10.23%,0.00%,10.12%,4.38%,15.07%,2080.00,1814.00,308.68,262.00,4.00,1429.50,76.00,17.02%
Staff 17-18,10,PC - 3,Guenevere Florida,Level 2,Location 1,Client Service Staff,Confirmed Staff,Cacilia Aimee,2004-10-31,Active,,13.16%,10.23%,8.52%,16.07%,11.03%,9.38%,14.29%,24.40%,11.72%,14.29%,20.83%,12.50%,2080.00,1912.00,265.00,168.00,0.00,1271.00,378.00,13.86%
Staff 17-18,12,PC - 3,Revkah Stephie,Level 2,Location 1,Client Service Staff,SVP/VP,Rochette Jilleen,2004-11-30,Active,,132.24%,16.48%,139.47%,50.60%,55.13%,77.63%,14.13%,67.86%,41.25%,80.47%,63.13%,95.83%,2080.00,1832.00,1289.00,208.00,40.00,473.00,341.00,70.36%
Staff 17-18,13,PC - 3,Cacilia Aimee,Level 2,Location 1,Client Service Staff,SVP/VP,Idalina Lauraine,2004-12-31,Active,,16.45%,5.00%,0.00%,14.29%,0.00%,12.50%,3.13%,16.72%,17.97%,5.00%,26.15%,1.19%,2080.00,1793.50,170.00,240.00,46.50,1104.00,981.00,9.48%
Staff 17-18,14,PC - 3,Tallia Eyde,Level 2,Location 1,Client Service Staff,SVP/VP,Idalina Lauraine,2005-02-28,Active,,38.39%,1.14%,0.60%,1.19%,5.98%,60.00%,0.00%,15.91%,0.78%,31.25%,30.00%,11.31%,2080.00,1896.00,301.00,184.00,0.00,1058.00,651.00,15.88%
Staff 17-18,16,PC - 3,Zaria Dawn,Level 3,Location 1,Client Service Staff,Confirmed Staff,Cacilia Aimee,2005-11-30,Active,,53.47%,34.78%,5.68%,3.13%,45.83%,35.00%,0.00%,42.86%,37.50%,42.86%,0.00%,43.18%,2080.00,1920.00,556.00,112.00,48.00,1487.00,0.00,28.96%
Staff 17-18,17,PC - 1,Trudey Lissi,Level 3,Location 3,Client Service Staff,Confirmed Staff,Rochette Jilleen,2005-12-31,Active,,2.30%,22.73%,2.78%,1.19%,5.43%,13.75%,0.63%,6.82%,3.13%,0.00%,11.84%,6.58%,2080.00,1880.00,121.00,168.00,32.00,0.00,1819.00,6.44%
Staff 17-18,18,PC - 3,Marina Garnette,Level 3,Location 1,Client Service Staff,Confirmed Staff,Cacilia Aimee,2006-01-31,Active,,17.76%,1.39%,0.00%,0.00%,3.57%,10.63%,0.00%,2.98%,14.06%,0.00%,19.38%,1.19%,2080.00,1904.00,108.00,176.00,0.00,295.00,1521.00,5.67%
Staff 17-18,19,PC - 3,Cordey Sofia,Level 3,Location 1,Client Service Staff,Resigned,Cacilia Aimee,2006-05-31,Resigned,2018-04-30,14.81%,0.00%,0.00%,0.00%,4.69%,0.00%,0.00%,3.75%,21.88%,0.00%,0.00%,13.16%,2080.00,1812.00,77.50,268.00,0.00,0.00,2030.00,4.28%
Staff 17-18,20,PC - 2,Leonanie Lexine,Level 6,Location 7,Client Service Staff,Confirmed Staff,Orsa Margeaux,2006-06-30,Active,,118.52%,110.71%,117.82%,108.13%,157.26%,133.75%,118.58%,119.09%,115.00%,100.00%,100.00%,106.09%,2080.00,1857.00,2182.02,198.00,25.00,0.00,0.00,117.50%
Staff 17-18,21,PC - 1,Alvinia Ede,Level 2,Location 3,Client Service Staff,SVP/VP,Rochette Jilleen,2006-07-31,Active,,44.74%,39.13%,26.70%,11.90%,60.71%,63.75%,14.29%,9.09%,0.00%,0.00%,23.75%,21.43%,2080.00,1920.00,517.00,120.00,40.00,1420.00,0.00,26.93%
Staff 17-18,22,PC - 2,Marys Essy,Level 3,Location 7,Client Service Staff,Confirmed Staff,Annnora Gabrielle,2006-11-30,Active,,26.32%,63.82%,1.14%,0.00%,0.00%,63.10%,2.50%,0.00%,0.00%,15.22%,13.75%,33.52%,2080.00,1904.00,357.00,176.00,0.00,0.00,1568.00,18.75%
Staff 17-18,23,PC - 1,Em Cacilie,Level 3,Location 8,Client Service Staff,Confirmed Staff,Jordanna Danya,2006-12-31,Active,,26.47%,26.09%,0.00%,95.24%,23.81%,85.00%,72.37%,100.00%,13.46%,0.00%,5.41%,47.50%,2080.00,1828.00,796.00,252.00,0.00,1036.00,0.00,43.54%
Staff 17-18,24,PC - 1,Rina Debee,Level 3,Location 3,Client Service Staff,Confirmed Staff,Rochette Jilleen,2006-12-31,Active,,0.00%,4.44%,0.00%,0.63%,0.00%,17.65%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2080.00,1836.00,33.00,236.00,8.00,701.00,1116.00,1.80%
Staff 17-18,25,PC - 3,Oriana Tabby,Level 3,Location 4,Client Service Staff,Confirmed Staff,Cacilia Aimee,2007-01-31,Active,,70.00%,0.00%,70.00%,0.00%,0.00%,6.77%,0.57%,0.00%,4.55%,1.67%,1.25%,35.94%,2080.00,1820.00,290.75,244.00,16.00,538.00,1063.25,15.98%
Staff 17-18,26,PC - 3,Marney Anderea,Level 4,Location 2,Client Service Staff,Confirmed Staff,Revkah Stephie,2007-03-31,Active,,31.25%,84.21%,96.86%,50.00%,54.55%,100.00%,9.09%,40.91%,37.50%,0.00%,65.00%,60.00%,2080.00,1755.00,954.00,268.00,57.00,0.00,817.00,54.36%
Staff 17-18,27,PC - 3,Danette Melinda,Level 4,Location 4,Client Service Staff,Confirmed Staff,Daryl Natalina,2007-03-31,Active,,0.00%,37.21%,50.00%,24.40%,55.56%,25.64%,42.11%,0.00%,28.57%,28.57%,0.00%,31.58%,2080.00,1788.00,457.00,280.00,12.00,0.00,1335.00,25.56%
Staff 17-18,28,PC - 3,Kynthia Hildy,Level 3,Location 2,Client Service Staff,Confirmed Staff,Cacilia Aimee,2007-07-31,Active,,1.47%,25.00%,40.18%,43.75%,0.00%,30.47%,18.75%,11.36%,33.33%,37.50%,89.47%,11.31%,2080.00,1752.00,489.00,264.00,64.00,514.00,767.00,27.91%
Staff 17-18,29,PC - 1,Cynthia Leonora,Level 4,Location 3,Client Service Staff,Confirmed Staff,Kippy Marquita,2007-11-30,Active,,25.00%,0.00%,68.75%,45.00%,67.11%,33.75%,11.43%,28.95%,40.00%,21.05%,6.25%,66.25%,2080.00,1703.00,572.00,288.00,89.00,86.00,1180.00,33.59%
Staff 17-18,30,PC - 3,Kristina Alleen,Level 4,Location 1,Client Service Staff,Confirmed Staff,Marina Garnette,2008-04-30,Active,,0.00%,0.00%,0.00%,0.00%,25.83%,62.50%,25.00%,0.00%,37.50%,0.00%,0.00%,0.00%,2080.00,1887.00,207.00,176.00,17.00,0.00,1712.00,10.97%
Staff 17-18,31,PC - 3,Nikolia Shirl,Level 4,Location 1,Client Service Staff,Confirmed Staff,Kalindi Toma,2008-04-30,Active,,6.25%,0.00%,28.57%,22.62%,87.50%,115.79%,89.47%,28.57%,31.25%,57.14%,100.00%,100.00%,2080.00,1912.00,1066.00,168.00,0.00,48.00,806.00,55.75%
Staff 17-18,32,PC - 1,Gisella Nickie,Level 4,Location 3,Client Service Staff,Confirmed Staff,Jordanna Danya,2008-05-31,Active,,3.75%,68.75%,56.25%,0.00%,34.66%,68.13%,61.76%,51.14%,37.50%,83.33%,3.75%,38.71%,2080.00,1859.00,804.00,192.00,29.00,0.00,1326.00,43.25%
Staff 17-18,33,PC - 1,Blondy Tatiania,Level 5,Location 3,Client Service Staff,Confirmed Staff,Irene Candis,2008-05-31,Active,,56.58%,41.18%,43.42%,25.16%,11.36%,-275.00%,0.00%,0.00%,0.00%,0.00%,48.75%,55.00%,2080.00,1267.50,435.00,788.00,24.50,0.00,832.50,34.32%
Staff 17-18,34,PC - 1,Beverlee Giana,Level A2,Location 3,Support Staff,Confirmed Staff,Idalina Lauraine,2008-11-30,Active,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2080.00,1864.00,0.00,216.00,0.00,0.00,1864.00,0.00%
Staff 17-18,35,PC - 3,Alika Malia,Level 6,Location 2,Client Service Staff,Confirmed Staff,Kynthia Hildy,2008-11-30,Active,,33.33%,28.57%,113.91%,26.94%,0.00%,0.00%,213.89%,106.82%,100.00%,80.00%,136.84%,10.53%,2080.00,1697.00,1292.50,360.00,23.00,0.00,580.50,76.16%
Staff 17-18,37,PC - 2,Terza Gwyn,Level 4,Location 7,Client Service Staff,Confirmed Staff,Annnora Gabrielle,2009-05-31,Active,,31.58%,50.00%,41.03%,19.05%,20.63%,45.00%,100.00%,48.33%,46.15%,69.44%,40.00%,40.00%,2080.00,1780.00,807.00,232.00,68.00,24.00,978.00,45.34%
Staff 17-18,38,PC - 3,Genvieve Celeste,Level 5,Location 4,Client Service Staff,Confirmed Staff,Oriana Tabby,2009-06-30,Active,,97.37%,98.21%,42.17%,24.39%,142.19%,75.00%,0.00%,6.25%,9.62%,0.00%,0.00%,118.45%,2080.00,1744.50,936.00,324.00,11.50,4.00,820.00,53.65%
Staff 17-18,39,PC - 3,Kim Consuela,Level A2,Location 1,Support Staff,Confirmed Staff,Cacilia Aimee,2009-06-30,Active,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2080.00,1785.00,0.00,280.00,15.00,0.00,2257.00,0.00%
Staff 17-18,40,PC - 1,Nerissa Jackquelin,Level 5,Location 3,Client Service Staff,Confirmed Staff,Ardys Katerine,2009-06-30,Active,,26.67%,18.18%,50.00%,55.00%,47.22%,38.75%,39.47%,19.40%,25.00%,44.44%,47.06%,42.50%,2080.00,1784.00,672.60,272.00,24.00,0.00,1121.00,37.70%
Staff 17-18,41,PC - 2,Frances Mignonne,Level 4,Location 7,Client Service Staff,Confirmed Staff,Daryl Natalina,2009-06-30,Active,,0.00%,17.05%,52.38%,7.14%,44.44%,55.00%,10.94%,28.41%,0.00%,36.48%,0.00%,14.71%,2080.00,1765.00,416.00,256.00,59.00,0.00,1419.00,23.57%
Staff 17-18,43,PC - 3,Moira Vivien,Level 5,Location 2,Client Service Staff,Confirmed Staff,Kynthia Hildy,2009-08-31,Active,,0.00%,71.20%,62.14%,40.49%,12.31%,95.60%,0.00%,31.23%,10.76%,42.50%,15.79%,57.66%,2080.00,1811.00,696.00,176.00,93.00,192.00,987.00,38.43%
Staff 17-18,44,PC - 1,Erminie Ericka,Level 3,Location 3,Client Service Staff,Confirmed Staff,Alvinia Ede,2009-08-31,Active,,15.63%,22.28%,56.25%,30.36%,41.48%,55.00%,19.38%,27.84%,19.12%,12.50%,24.38%,2.16%,2080.00,1929.50,543.50,148.00,2.50,1373.00,24.00,28.17%
Staff 17-18,45,PC - 5,Jenny Kasey,Level 7,Location 1,Client Service Staff,Resigned,Orsa Margeaux,2010-01-31,Resigned,2017-06-30,119.44%,100.00%,100.00%,0,0,0,0,0,0,0,0,0,440.00,392.00,420.00,48.00,0.00,0.00,0.00,107.14%
Staff 17-18,46,PC - 1,Kirsti Vikky,Level 6,Location 3,Client Service Staff,Confirmed Staff,Irene Candis,2010-01-31,Active,,66.67%,50.00%,83.33%,90.79%,93.75%,87.50%,55.26%,109.09%,0.00%,171.43%,100.00%,100.00%,2080.00,1772.00,1508.00,288.00,20.00,0.00,264.00,85.10%
Staff 17-18,47,PC - 2,Annmaria Alissa,Level 6,Location 7,Client Service Staff,Confirmed Staff,Dore Natalya,2010-02-28,Active,,75.00%,100.00%,90.00%,23.81%,110.53%,117.65%,50.00%,36.36%,176.19%,86.36%,50.00%,0.00%,2080.00,1848.00,1480.00,232.00,0.00,168.00,160.00,80.09%
Staff 17-18,48,PC - 2,Philippe Kizzie,Level 4,Location 7,Client Service Staff,Confirmed Staff,Daryl Natalina,2010-03-31,Active,,13.82%,39.88%,46.32%,43.88%,19.85%,53.29%,6.25%,32.24%,9.38%,23.81%,28.95%,11.56%,2080.00,1771.00,491.50,280.00,29.00,646.00,672.50,27.75%
Staff 17-18,49,PC - 2,Orelee Hanna,Level 4,Location 9,Client Service Staff,Confirmed Staff,Marleah Bernadina,2010-04-30,Active,,0.63%,111.93%,95.45%,72.02%,3.26%,39.29%,64.38%,13.64%,25.00%,25.00%,19.79%,0.00%,2080.00,1888.00,771.00,192.00,0.00,0.00,1125.00,40.84%
Staff 17-18,50,PC - 2,Leta Evangeline,Level 5,Location 7,Client Service Staff,Resigned,Tallia Eyde,2010-05-31,Resigned,2017-09-30,5.26%,17.39%,54.55%,61.90%,0.00%,0.00%,0,0,0,0,0,0,984.00,864.00,192.00,120.00,0.00,0.00,696.00,22.22%
Staff 17-18,51,PC - 3,Leilah Nanni,Level 5,Location 1,Client Service Staff,Confirmed Staff,Revkah Stephie,2010-05-31,Active,,96.53%,165.22%,341.48%,100.00%,100.00%,100.00%,93.71%,105.68%,100.00%,140.79%,135.00%,191.67%,2080.00,1879.00,2669.00,200.00,1.00,0.00,15.00,142.04%
Staff 17-18,52,PC - 3,Kathye Edna,Level 5,Location 1,Client Service Staff,Confirmed Staff,Tallia Eyde,2010-05-31,Active,,5.00%,0.60%,0.00%,14.88%,0.00%,47.62%,54.55%,9.09%,0.00%,9.20%,15.00%,0.00%,2080.00,2006.00,266.00,72.00,2.00,0.00,1740.00,13.26%
Staff 17-18,56,PC - 3,Madelyn Shane,Level 6,Location 1,Client Service Staff,Confirmed Staff,Dottie Bidget,2010-05-31,Active,,73.68%,70.45%,53.33%,119.05%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,2080.00,1726.00,1596.00,328.00,26.00,0.00,232.00,92.47%
Staff 17-18,57,PC - 3,Celka Dorree,Level 5,Location 1,Client Service Staff,Confirmed Staff (Part-Time 4 Hours),Marina Garnette,2010-08-31,Active,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2080.00,0.00,0.00,2080.00,0.00,0.00,0.00,0.00%
Staff 17-18,58,PC - 2,Tallulah Kassia,Level 5,Location 7,Client Service Staff,Confirmed Staff,Kevin Perez,2010-08-31,Active,,0.00%,7.41%,10.90%,82.14%,18.42%,103.51%,83.78%,89.17%,132.03%,105.00%,101.28%,110.53%,2080.00,1572.00,1234.00,456.00,52.00,186.00,265.00,78.50%
Staff 17-18,59,PC - 2,Aimil Latisha,Level 5,Location 7,Client Service Staff,Confirmed Staff,Annnora Gabrielle,2010-08-31,Active,,95.72%,53.47%,58.93%,16.45%,343.33%,1.25%,71.90%,130.63%,72.32%,58.33%,107.43%,68.75%,2080.00,1733.00,1482.50,336.00,11.00,0.00,540.00,85.55%
Staff 17-18,60,PC - 2,Pamelina Shalna,Level 4,Location 7,Client Service Staff,Secondee-Outward-Without Pay,Daryl Natalina,2010-09-30,Secondment,,15.00%,4.55%,2.98%,0.00%,0.00%,0.00%,0,0,0,0,0,0,960.00,856.00,37.00,96.00,8.00,0.00,867.00,4.32%
Staff 17-18,61,PC - 2,Jillian Lorelei,Level 4,Location 7,Client Service Staff,Confirmed Staff,Daryl Natalina,2010-09-30,Active,,1.25%,6.82%,13.64%,26.79%,161.81%,95.24%,106.25%,100.00%,65.63%,0.00%,56.83%,57.14%,2080.00,1864.00,1015.20,168.00,48.00,407.00,509.00,54.46%
Staff 17-18,63,PC - 3,Tarah Sean,Level A3,Location 1,Support Staff,Confirmed Staff,Kalindi Toma,2010-11-30,Active,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2080.00,1787.50,0.00,292.00,0.50,0.00,1787.50,0.00%
Staff 17-18,64,PC - 2,Chiarra Constancy,Level A2,Location 7,Support Staff,Confirmed Staff,Daryl Natalina,2010-11-30,Active,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2080.00,1815.50,0.00,264.00,0.50,0.00,1828.50,0.00%
Staff 17-18,66,PC - 3,Leela Jsandye,Level 6,Location 2,Client Service Staff,Resigned,Vonni Bethena,2011-01-31,Resigned,2017-10-31,1.32%,102.74%,0.00%,37.50%,23.53%,4.76%,0.00%,0,0,0,0,0,1080.00,974.50,283.50,80.00,25.50,0.00,699.00,29.09%
Staff 17-18,67,PC - 2,Ruthe Bellina,Level 5,Location 9,Client Service Staff,Confirmed Staff,Lenora Nydia,2011-01-31,Active,,0.00%,45.93%,37.50%,0.00%,0.00%,245.90%,38.10%,0.00%,114.29%,0.00%,50.00%,45.45%,2080.00,1929.00,700.00,120.00,31.00,0.00,1237.00,36.29%
Staff 17-18,68,PC - 2,Dannie Clotilda,Level 5,Location 7,Client Service Staff,Confirmed Staff,Dore Natalya,2011-01-31,Active,,0.00%,17.58%,31.53%,1.19%,0.00%,158.33%,106.29%,108.31%,86.33%,10.83%,52.50%,196.43%,2080.00,1847.00,1003.00,192.00,41.00,80.00,822.50,54.30%
Staff 17-18,69,PC - 1,Lee Alfie,Level 5,Location 3,Client Service Staff,Confirmed Staff,Lindy Marguerite,2011-01-31,Active,,45.00%,39.13%,51.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2080.00,508.00,228.00,1568.00,4.00,0.00,280.00,44.88%
Staff 17-18,70,PC - 2,Imelda Madalena,Level 5,Location 9,Client Service Staff,Confirmed Staff,Lenora Nydia,2011-02-28,Active,,74.32%,23.61%,45.24%,38.10%,28.98%,60.12%,3.13%,0.00%,47.50%,67.26%,100.00%,46.02%,2080.00,1963.50,871.00,104.00,12.50,949.50,144.00,44.36%
Staff 17-18,71,PC - 2,Klarrisa Theresita,Level 5,Location 7,Client Service Staff,Confirmed Staff,Philippe Kizzie,2011-02-28,Active,,75.00%,75.00%,75.00%,75.00%,-41.25%,-2.11%,15.79%,40.93%,10.81%,26.19%,28.13%,8.75%,2080.00,1769.35,647.00,280.00,30.65,0.00,1133.35,36.57%
Staff 17-18,72,PC - 3,Agata Theodosia,Level 3,Location 1,Client Service Staff,Confirmed Staff,Cacilia Aimee,2011-03-31,Active,,0.00%,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,0.00%,0.00%,18.18%,45.57%,18.18%,2080.00,2070.00,192.00,8.00,2.00,640.00,1238.00,9.28%
Staff 17-18,73,PC - 3,Cortney Wanids,Level 5,Location 1,Client Service Staff,Confirmed Staff,Zaria Dawn,2011-03-31,Active,,7.89%,0.00%,7.14%,0.00%,101.10%,120.27%,100.00%,75.61%,156.25%,18.75%,-15.58%,0.00%,2080.00,1825.00,806.00,208.00,47.00,168.00,1015.00,44.16%
Staff 17-18,75,PC - 3,Norene Ethelyn,Level 6,Location 2,Client Service Staff,Resigned,Guenevere Florida,2011-04-30,Resigned,2017-11-30,25.00%,179.35%,133.33%,96.43%,104.76%,100.00%,100.00%,61.54%,0,0,0,0,1320.00,1264.00,1308.00,56.00,0.00,0.00,128.00,103.48%
Staff 17-18,76,PC - 2,Goldarina Cecilia,Level 6,Location 7,Client Service Staff,Resigned,Myrtie Brana,2011-04-30,Resigned,2018-04-30,100.00%,100.00%,41.18%,90.00%,35.67%,20.00%,104.17%,129.63%,95.00%,100.00%,86.11%,50.00%,2080.00,1700.00,1339.00,368.00,12.00,0.00,374.00,78.76%
Staff 17-18,77,PC - 1,Bernice Andrea,Level 4,Location 6,Client Service Staff,Awaiting Termination,Rochette Jilleen,2011-04-30,Active,,0.00%,2.50%,0.00%,0.00%,38.64%,80.15%,42.86%,27.84%,-25.00%,0.00%,10.00%,36.84%,2080.00,1783.00,320.00,296.00,1.00,0.00,1476.00,17.95%
Staff 17-18,790,PC - 3,Vanessa Zingaro,Level 5,Location 1,Client Service Staff,Confirmed Staff,Zaria Dawn,2011-04-30,Active,,0,0,100.00%,100.00%,17.39%,106.67%,0.00%,87.61%,68.75%,-1.19%,0.00%,130.17%,1736.00,1553.00,934.00,144.00,39.00,0.00,626.00,60.14%
Staff 17-18,79,PC - 2,Jaime Cordie,Level 6,Location 7,Client Service Staff,Confirmed Staff,Terza Gwyn,2011-05-31,Active,,100.00%,100.00%,43.01%,45.00%,46.88%,80.00%,100.00%,100.00%,104.47%,100.00%,100.00%,100.00%,2080.00,1782.50,1531.00,288.00,9.50,0.00,282.00,85.89%
